Time (h)	Temperature (K)	Fission rate (fiss/m3-s)	Hydrostatic stress (MPa)	Grain radius (m)	Gas produced (at/m3)	Gas in grains (at/m3)	Gas in intra-granular solution (at/m3)	Gas in intra-granular bubbles (at/m3)	Gas at grain boundaries (at/m3)	Gas released (at/m3)	Intra-granular bubble density (bubble/m3)	Intra-granular bubble radius (m)	Intra-granular gas swelling (/)	Inter-granular bubble concentration (bubble/m2)	Inter-granular atoms per bubble (at/bubble)	Inter-granular vacancies per bubble (vac/bubble)	Inter-granular bubble radius (m)	Inter-granular bubble area (m2)	Inter-granular bubble volume (m3)	Inter-granular fractional coverage (/)	Inter-granular saturation fractional coverage (/)	Inter-granular gas swelling (/)	Inter-granular fractional intactness (/)	Burnup (GWd/tUO2)	Effective burnup (GWd/tUO2)
0	1000	1e+019	0	5e-006	0	0	0	0	0	0	0	0	0	4e+013	0	0	0	0	0	0	0.5	0	1	0	0
0.01	1000.8	1e+019	0	5e-006	1.08e+020	1.04798e+020	1.04798e+020	0	3.20217e+018	0	1.7759e+022	0	0	3.99996e+013	0.133425	0	2.52287e-010	1.1734e-019	1.13411e-029	4.69356e-006	0.5	2.72185e-010	1	1.18505e-005	1.18505e-005
0.02	1001.6	1e+019	0	5e-006	2.16e+020	2.09596e+020	2.09502e+020	9.35252e+016	6.40442e+018	0	3.52802e+022	3.04429e-012	4.16945e-012	3.99994e+013	0.266855	0.016243	3.20936e-010	1.89887e-019	2.3347e-029	7.59538e-006	0.5	5.60319e-010	1	2.3701e-005	2.3701e-005
0.03	1002.4	1e+019	0	5e-006	3.24e+020	3.14393e+020	3.14111e+020	2.82563e+017	9.60673e+018	0	5.25625e+022	3.85331e-012	1.25969e-011	3.99992e+013	0.400289	0.0310191	3.68332e-010	2.50113e-019	3.52932e-029	1.00043e-005	0.5	8.4702e-010	1	3.55515e-005	3.55515e-005
0.04	1003.2	1e+019	0	5e-006	4.32e+020	4.19191e+020	4.18626e+020	5.65326e+017	1.28091e+019	0	6.96104e+022	4.42142e-012	2.52028e-011	3.9999e+013	0.533726	0.0475032	4.06124e-010	3.04071e-019	4.73096e-029	1.21625e-005	0.5	1.1354e-009	1	4.7402e-005	4.7402e-005
0.05	1004	1e+019	0	5e-006	5.4e+020	5.23988e+020	5.23047e+020	9.41906e+017	1.60116e+019	0	8.64271e+022	4.87685e-012	4.19911e-011	3.99989e+013	0.667168	0.0655224	4.38105e-010	3.53845e-019	5.93892e-029	1.41534e-005	0.5	1.4253e-009	1	5.92525e-005	5.92525e-005
0.06	1004.8	1e+019	0	5e-006	6.48e+020	6.28786e+020	6.27374e+020	1.41198e+018	1.92141e+019	0	1.03015e+023	5.26417e-012	6.29476e-011	3.99987e+013	0.800614	0.0848848	4.66114e-010	4.00537e-019	7.1524e-029	1.6021e-005	0.5	1.71652e-009	1	7.1103e-005	7.1103e-005
0.07	1005.6	1e+019	0	5e-006	7.56e+020	7.33583e+020	7.31608e+020	1.97522e+018	2.24167e+019	0	1.19378e+023	5.60511e-012	8.80574e-011	3.99986e+013	0.934063	0.105447	4.91207e-010	4.44823e-019	8.37081e-029	1.77923e-005	0.5	2.00892e-009	1	8.29535e-005	8.29535e-005
0.08	1006.4	1e+019	0	5e-006	8.64e+020	8.38381e+020	8.35749e+020	2.63129e+018	2.56194e+019	0	1.35518e+023	5.91213e-012	1.17306e-010	3.99984e+013	1.06752	0.127098	5.14049e-010	4.87154e-019	9.59372e-029	1.94854e-005	0.5	2.3024e-009	1	9.4804e-005	9.4804e-005
0.09	1007.2	1e+019	0	5e-006	9.72e+020	9.43178e+020	9.39798e+020	3.37986e+018	2.88222e+019	0	1.51439e+023	6.1931e-012	1.50678e-010	3.99983e+013	1.20097	0.149753	5.35092e-010	5.27854e-019	1.08208e-028	2.11133e-005	0.5	2.59687e-009	1	0.000106655	0.000106655
0.1	1008	1e+019	0	5e-006	1.08e+021	1.04798e+021	1.04375e+021	4.22062e+018	3.2025e+019	0	1.67142e+023	6.45333e-012	1.8816e-010	3.99982e+013	1.33444	0.173341	5.54657e-010	5.67161e-019	1.20517e-028	2.26854e-005	0.5	2.89227e-009	1	0.000118505	0.000118505
0.11	1008.8	1e+019	0	5e-006	1.188e+021	1.15277e+021	1.14762e+021	5.15326e+018	3.52279e+019	0	1.82631e+023	6.69663e-012	2.29738e-010	3.99981e+013	1.4679	0.197804	5.72983e-010	6.0526e-019	1.32862e-028	2.42092e-005	0.5	3.18853e-009	1	0.000130356	0.000130356
0.12	1009.6	1e+019	0	5e-006	1.296e+021	1.25757e+021	1.25139e+021	6.1775e+018	3.84309e+019	0	1.97909e+023	6.92579e-012	2.75399e-010	3.99979e+013	1.60137	0.223093	5.90253e-010	6.42295e-019	1.45241e-028	2.56905e-005	0.5	3.4856e-009	1	0.000142206	0.000142206
0.13	1010.4	1e+019	0	5e-006	1.404e+021	1.36237e+021	1.35507e+021	7.29305e+018	4.1634e+019	0	2.12979e+023	7.14296e-012	3.25131e-010	3.99978e+013	1.73484	0.249167	6.06609e-010	6.78384e-019	1.57653e-028	2.71339e-005	0.5	3.78346e-009	1	0.000154057	0.000154057
0.14	1011.2	1e+019	0	5e-006	1.512e+021	1.46716e+021	1.45866e+021	8.49966e+018	4.48371e+019	0	2.27842e+023	7.34981e-012	3.78923e-010	3.99977e+013	1.86832	0.27599	6.22166e-010	7.13625e-019	1.70095e-028	2.85434e-005	0.5	4.08205e-009	1	0.000165907	0.000165907
0.15	1012	1e+019	0	5e-006	1.62e+021	1.57196e+021	1.56216e+021	9.79707e+018	4.80403e+019	0	2.42502e+023	7.54769e-012	4.36763e-010	3.99976e+013	2.0018	0.303529	6.37015e-010	7.48096e-019	1.82567e-028	2.9922e-005	0.5	4.38135e-009	1	0.000177758	0.000177758
0.16	1012.8	1e+019	0	5e-006	1.728e+021	1.67676e+021	1.66557e+021	1.11851e+019	5.12436e+019	0	2.56962e+023	7.73767e-012	4.98642e-010	3.99975e+013	2.13529	0.331757	6.51235e-010	7.81867e-019	1.95068e-028	3.12727e-005	0.5	4.68134e-009	1	0.000189608	0.000189608
0.17	1013.6	1e+019	0	5e-006	1.836e+021	1.78155e+021	1.76889e+021	1.26634e+019	5.4447e+019	0	2.71224e+023	7.92067e-012	5.64549e-010	3.99974e+013	2.26877	0.360648	6.64888e-010	8.14995e-019	2.07596e-028	3.25977e-005	0.5	4.98199e-009	1	0.000201459	0.000201459
0.18	1014.4	1e+019	0	5e-006	1.944e+021	1.88635e+021	1.87212e+021	1.4232e+019	5.76505e+019	0	2.8529e+023	8.09742e-012	6.34476e-010	3.99973e+013	2.40227	0.390181	6.7803e-010	8.47531e-019	2.20151e-028	3.3899e-005	0.5	5.28327e-009	1	0.000213309	0.000213309
0.19	1015.2	1e+019	0	5e-006	2.052e+021	1.99115e+021	1.97526e+021	1.58905e+019	6.08541e+019	0	2.99164e+023	8.26856e-012	7.08415e-010	3.99972e+013	2.53576	0.420335	6.90707e-010	8.7952e-019	2.32732e-028	3.51783e-005	0.5	5.58517e-009	1	0.00022516	0.00022516
0.2	1016	1e+019	0	5e-006	2.16e+021	2.09594e+021	2.0783e+021	1.76389e+019	6.40577e+019	0	3.12848e+023	8.43464e-012	7.86359e-010	3.99971e+013	2.66927	0.451091	7.02959e-010	9.10998e-019	2.45337e-028	3.64373e-005	0.5	5.88766e-009	1	0.00023701	0.00023701
0.21	1016.8	1e+019	0	5e-006	2.268e+021	2.20074e+021	2.18126e+021	1.94769e+019	6.72614e+019	0	3.26344e+023	8.59611e-012	8.68301e-010	3.9997e+013	2.80277	0.482434	7.1482e-010	9.42001e-019	2.57967e-028	3.76772e-005	0.5	6.19074e-009	1	0.000248861	0.000248861
0.22	1017.6	1e+019	0	5e-006	2.376e+021	2.30553e+021	2.28413e+021	2.14045e+019	7.04652e+019	0	3.39655e+023	8.75339e-012	9.54235e-010	3.99969e+013	2.93628	0.514347	7.26322e-010	9.72559e-019	2.70621e-028	3.88993e-005	0.5	6.49439e-009	1	0.000260711	0.000260711
0.23	1018.4	1e+019	0	5e-006	2.484e+021	2.41033e+021	2.38691e+021	2.34216e+019	7.36691e+019	0	3.52782e+023	8.90683e-012	1.04416e-009	3.99968e+013	3.06979	0.546816	7.3749e-010	1.0027e-018	2.83297e-028	4.01047e-005	0.5	6.79859e-009	1	0.000272562	0.000272562
0.24	1019.2	1e+019	0	5e-006	2.592e+021	2.51513e+021	2.4896e+021	2.55279e+019	7.68731e+019	0	3.6573e+023	9.05674e-012	1.13806e-009	3.99967e+013	3.20331	0.579829	7.48349e-010	1.03244e-018	2.95997e-028	4.12943e-005	0.5	7.10333e-009	1	0.000284412	0.000284412
0.25	1020	1e+019	0	5e-006	2.7e+021	2.61992e+021	2.5922e+021	2.77236e+019	8.00772e+019	0	3.785e+023	9.2034e-012	1.23594e-009	3.99966e+013	3.33683	0.613373	7.5892e-010	1.06182e-018	3.08718e-028	4.24691e-005	0.5	7.4086e-009	1	0.000296263	0.000296263
0.26	1020.8	1e+019	0	5e-006	2.808e+021	2.72472e+021	2.69471e+021	3.00084e+019	8.32814e+019	0	3.91094e+023	9.34704e-012	1.3378e-009	3.99965e+013	3.47036	0.647438	7.69221e-010	1.09084e-018	3.21461e-028	4.36297e-005	0.5	7.71439e-009	1	0.000308113	0.000308113
0.27	1021.6	1e+019	0	5e-006	2.916e+021	2.82951e+021	2.79713e+021	3.23824e+019	8.64856e+019	0	4.03515e+023	9.4879e-012	1.44364e-009	3.99964e+013	3.60389	0.682011	7.79271e-010	1.11953e-018	3.34225e-028	4.47771e-005	0.5	8.02068e-009	1	0.000319964	0.000319964
0.28	1022.4	1e+019	0	5e-006	3.024e+021	2.93431e+021	2.89946e+021	3.48454e+019	8.969e+019	0	4.15764e+023	9.62616e-012	1.55344e-009	3.99963e+013	3.73743	0.717085	7.89083e-010	1.1479e-018	3.4701e-028	4.59117e-005	0.5	8.32747e-009	1	0.000331814	0.000331814
0.29	1023.2	1e+019	0	5e-006	3.132e+021	3.03911e+021	3.00171e+021	3.73976e+019	9.28944e+019	0	4.27845e+023	9.76201e-012	1.66722e-009	3.99962e+013	3.87096	0.75265	7.98672e-010	1.17597e-018	3.59815e-028	4.70342e-005	0.5	8.63476e-009	1	0.000343665	0.000343665
0.3	1024	1e+019	0	5e-006	3.24e+021	3.1439e+021	3.10386e+021	4.00389e+019	9.60989e+019	0	4.3976e+023	9.89561e-012	1.78497e-009	3.99961e+013	4.00451	0.788696	8.08051e-010	1.20375e-018	3.72641e-028	4.81453e-005	0.5	8.94252e-009	1	0.000355515	0.000355515
0.31	1024.8	1e+019	0	5e-006	3.348e+021	3.2487e+021	3.20593e+021	4.27692e+019	9.93036e+019	0	4.5151e+023	1.00271e-011	1.9067e-009	3.99961e+013	4.13806	0.825217	8.17231e-010	1.23125e-018	3.85486e-028	4.92453e-005	0.5	9.25076e-009	1	0.000367366	0.000367366
0.32	1025.6	1e+019	0	5e-006	3.456e+021	3.35349e+021	3.3079e+021	4.55888e+019	1.02508e+020	0	4.63099e+023	1.01566e-011	2.03239e-009	3.9996e+013	4.27161	0.862204	8.26223e-010	1.2585e-018	3.98351e-028	5.03348e-005	0.5	9.55946e-009	1	0.000379216	0.000379216
0.33	1026.4	1e+019	0	5e-006	3.564e+021	3.45829e+021	3.40979e+021	4.84974e+019	1.05713e+020	0	4.74527e+023	1.02843e-011	2.16206e-009	3.99959e+013	4.40517	0.89965	8.35036e-010	1.28549e-018	4.11235e-028	5.14143e-005	0.5	9.86862e-009	1	0.000391067	0.000391067
0.34	1027.2	1e+019	0	5e-006	3.672e+021	3.56308e+021	3.51159e+021	5.14954e+019	1.08918e+020	0	4.85798e+023	1.04102e-011	2.29572e-009	3.99958e+013	4.53873	0.937548	8.4368e-010	1.31224e-018	4.24138e-028	5.24841e-005	0.5	1.01782e-008	1	0.000402917	0.000402917
0.35	1028	1e+019	0	5e-006	3.78e+021	3.66788e+021	3.61329e+021	5.45826e+019	1.12123e+020	0	4.96913e+023	1.05344e-011	2.43335e-009	3.99957e+013	4.67229	0.975893	8.52162e-010	1.33876e-018	4.37059e-028	5.35446e-005	0.5	1.04883e-008	1	0.000414768	0.000414768
0.36	1028.8	1e+019	0	5e-006	3.888e+021	3.77267e+021	3.71491e+021	5.77593e+019	1.15328e+020	0	5.07874e+023	1.06572e-011	2.57497e-009	3.99956e+013	4.80586	1.01468	8.6049e-010	1.36505e-018	4.49999e-028	5.45961e-005	0.5	1.07988e-008	1	0.000426618	0.000426618
0.37	1029.6	1e+019	0	5e-006	3.996e+021	3.87747e+021	3.81644e+021	6.10255e+019	1.18533e+020	0	5.18684e+023	1.07785e-011	2.72058e-009	3.99955e+013	4.93944	1.0539	8.68671e-010	1.39113e-018	4.62957e-028	5.56392e-005	0.5	1.11097e-008	1	0.000438469	0.000438469
0.38	1030.4	1e+019	0	5e-006	4.104e+021	3.98226e+021	3.91788e+021	6.43813e+019	1.21739e+020	0	5.29344e+023	1.08984e-011	2.87018e-009	3.99955e+013	5.07302	1.09354	8.76712e-010	1.41701e-018	4.75933e-028	5.66739e-005	0.5	1.14211e-008	1	0.000450319	0.000450319
0.39	1031.2	1e+019	0	5e-006	4.212e+021	4.08706e+021	4.01923e+021	6.78268e+019	1.24944e+020	0	5.39857e+023	1.1017e-011	3.02379e-009	3.99954e+013	5.20661	1.13361	8.84619e-010	1.44268e-018	4.88926e-028	5.77006e-005	0.5	1.17329e-008	1	0.00046217	0.00046217
0.4	1032	1e+019	0	5e-006	4.32e+021	4.19185e+021	4.12049e+021	7.13623e+019	1.2815e+020	0	5.50224e+023	1.11343e-011	3.1814e-009	3.99953e+013	5.3402	1.1741	8.92398e-010	1.46817e-018	5.01937e-028	5.87197e-005	0.5	1.20451e-008	1	0.00047402	0.00047402
0.41	1032.8	1e+019	0	5e-006	4.428e+021	4.29664e+021	4.22166e+021	7.49879e+019	1.31355e+020	0	5.60447e+023	1.12505e-011	3.34304e-009	3.99952e+013	5.47379	1.215	9.00053e-010	1.49346e-018	5.14966e-028	5.97313e-005	0.5	1.23577e-008	1	0.000485871	0.000485871
0.42	1033.6	1e+019	0	5e-006	4.536e+021	4.40144e+021	4.32274e+021	7.87037e+019	1.34561e+020	0	5.70529e+023	1.13656e-011	3.50869e-009	3.99951e+013	5.60739	1.25631	9.0759e-010	1.51858e-018	5.28011e-028	6.07358e-005	0.5	1.26707e-008	1	0.000497721	0.000497721
0.43	1034.4	1e+019	0	5e-006	4.644e+021	4.50623e+021	4.42372e+021	8.251e+019	1.37767e+020	0	5.80471e+023	1.14797e-011	3.67838e-009	3.99951e+013	5.74099	1.29803	9.15014e-010	1.54352e-018	5.41074e-028	6.17333e-005	0.5	1.29842e-008	1	0.000509572	0.000509572
0.44	1035.2	1e+019	0	5e-006	4.752e+021	4.61103e+021	4.52462e+021	8.64069e+019	1.40973e+020	0	5.90275e+023	1.15927e-011	3.85211e-009	3.9995e+013	5.8746	1.34015	9.22328e-010	1.5683e-018	5.54153e-028	6.2724e-005	0.5	1.3298e-008	1	0.000521422	0.000521422
0.45	1036	1e+019	0	5e-006	4.86e+021	4.71582e+021	4.62543e+021	9.03947e+019	1.44179e+020	0	5.99943e+023	1.17048e-011	4.02989e-009	3.99949e+013	6.00822	1.38266	9.29537e-010	1.59291e-018	5.67249e-028	6.37083e-005	0.5	1.36122e-008	1	0.000533273	0.000533273
0.46	1036.8	1e+019	0	5e-006	4.968e+021	4.82061e+021	4.72614e+021	9.44736e+019	1.47385e+020	0	6.09476e+023	1.1816e-011	4.21173e-009	3.99948e+013	6.14184	1.42556	9.36645e-010	1.61736e-018	5.80362e-028	6.46862e-005	0.5	1.39269e-008	1	0.000545123	0.000545123
0.47	1037.6	1e+019	0	5e-006	5.076e+021	4.92541e+021	4.82676e+021	9.86438e+019	1.50591e+020	0	6.18878e+023	1.19264e-011	4.39764e-009	3.99947e+013	6.27546	1.46886	9.43655e-010	1.64166e-018	5.93491e-028	6.5658e-005	0.5	1.42419e-008	1	0.000556974	0.000556974
0.48	1038.4	1e+019	0	5e-006	5.184e+021	5.0302e+021	4.9273e+021	1.02906e+020	1.53798e+020	0	6.28148e+023	1.20359e-011	4.58764e-009	3.99947e+013	6.40909	1.51254	9.50571e-010	1.66582e-018	6.06636e-028	6.66238e-005	0.5	1.45573e-008	1	0.000568824	0.000568824
0.49	1039.2	1e+019	0	5e-006	5.292e+021	5.135e+021	5.02774e+021	1.07259e+020	1.57004e+020	0	6.37289e+023	1.21447e-011	4.78173e-009	3.99946e+013	6.54273	1.5566	9.57396e-010	1.68982e-018	6.19797e-028	6.75838e-005	0.5	1.48731e-008	1	0.000580675	0.000580675
0.5	1040	1e+019	0	5e-006	5.4e+021	5.23979e+021	5.12808e+021	1.11705e+020	1.60211e+020	0	6.46304e+023	1.22527e-011	4.97993e-009	3.99945e+013	6.67637	1.60104	9.64134e-010	1.71369e-018	6.32974e-028	6.85382e-005	0.5	1.51893e-008	1	0.000592525	0.000592525
0.51	1040.8	1e+019	0	5e-006	5.508e+021	5.34458e+021	5.22834e+021	1.16244e+020	1.63418e+020	0	6.55192e+023	1.23601e-011	5.18226e-009	3.99944e+013	6.81001	1.64586	9.70786e-010	1.73742e-018	6.46167e-028	6.94871e-005	0.5	1.55058e-008	1	0.000604376	0.000604376
0.52	1041.6	1e+019	0	5e-006	5.616e+021	5.44938e+021	5.3285e+021	1.20875e+020	1.66624e+020	0	6.63957e+023	1.24667e-011	5.38872e-009	3.99944e+013	6.94366	1.69105	9.77356e-010	1.76102e-018	6.59375e-028	7.04308e-005	0.5	1.58228e-008	1	0.000616226	0.000616226
0.53	1042.4	1e+019	0	5e-006	5.724e+021	5.55417e+021	5.42857e+021	1.25599e+020	1.69831e+020	0	6.726e+023	1.25727e-011	5.59933e-009	3.99943e+013	7.07732	1.7366	9.83847e-010	1.78448e-018	6.72599e-028	7.13692e-005	0.5	1.61401e-008	1	0.000628077	0.000628077
0.54	1043.2	1e+019	0	5e-006	5.832e+021	5.65896e+021	5.52854e+021	1.30417e+020	1.73039e+020	0	6.81122e+023	1.26782e-011	5.8141e-009	3.99942e+013	7.21098	1.78253	9.9026e-010	1.80783e-018	6.85839e-028	7.23026e-005	0.5	1.64578e-008	1	0.000639927	0.000639927
0.55	1044	1e+019	0	5e-006	5.94e+021	5.76375e+021	5.62843e+021	1.35328e+020	1.76246e+020	0	6.89525e+023	1.2783e-011	6.03306e-009	3.99941e+013	7.34465	1.82882	9.96599e-010	1.83104e-018	6.99094e-028	7.3231e-005	0.5	1.67758e-008	1	0.000651778	0.000651778
0.56	1044.8	1e+019	0	5e-006	6.048e+021	5.86855e+021	5.72821e+021	1.40334e+020	1.79453e+020	0	6.97811e+023	1.28873e-011	6.25621e-009	3.99941e+013	7.47832	1.87547	1.00287e-009	1.85414e-018	7.12364e-028	7.41547e-005	0.5	1.70942e-008	1	0.000663628	0.000663628
0.57	1045.6	1e+019	0	5e-006	6.156e+021	5.97334e+021	5.82791e+021	1.45434e+020	1.82661e+020	0	7.05981e+023	1.29911e-011	6.48358e-009	3.9994e+013	7.612	1.92248	1.00906e-009	1.87712e-018	7.25649e-028	7.50737e-005	0.5	1.7413e-008	1	0.000675479	0.000675479
0.58	1046.4	1e+019	0	5e-006	6.264e+021	6.07813e+021	5.9275e+021	1.50629e+020	1.85868e+020	0	7.14037e+023	1.30943e-011	6.71518e-009	3.99939e+013	7.74568	1.96985	1.01519e-009	1.89999e-018	7.3895e-028	7.59881e-005	0.5	1.77321e-008	1	0.000687329	0.000687329
0.59	1047.2	1e+019	0	5e-006	6.372e+021	6.18292e+021	6.02701e+021	1.55919e+020	1.89076e+020	0	7.2198e+023	1.31971e-011	6.95102e-009	3.99938e+013	7.87937	2.01757	1.02125e-009	1.92275e-018	7.52265e-028	7.68981e-005	0.5	1.80516e-008	1	0.00069918	0.00069918
0.6	1048	1e+019	0	5e-006	6.48e+021	6.28772e+021	6.12641e+021	1.61305e+020	1.92284e+020	0	7.29812e+023	1.32994e-011	7.19113e-009	3.99938e+013	8.01307	2.06564	1.02725e-009	1.9454e-018	7.65595e-028	7.78037e-005	0.5	1.83714e-008	1	0.00071103	0.00071103
0.61	1048.8	1e+019	0	5e-006	6.588e+021	6.39251e+021	6.22572e+021	1.66787e+020	1.95492e+020	0	7.37535e+023	1.34013e-011	7.43553e-009	3.99937e+013	8.14677	2.11406	1.03318e-009	1.96794e-018	7.78941e-028	7.87051e-005	0.5	1.86916e-008	1	0.000722881	0.000722881
0.62	1049.6	1e+019	0	5e-006	6.696e+021	6.4973e+021	6.32493e+021	1.72366e+020	1.987e+020	0	7.45149e+023	1.35028e-011	7.68423e-009	3.99936e+013	8.28048	2.16283	1.03906e-009	1.99038e-018	7.923e-028	7.96024e-005	0.5	1.90122e-008	1	0.000734731	0.000734731
0.63	1050.4	1e+019	0	5e-006	6.804e+021	6.60209e+021	6.42405e+021	1.78041e+020	2.01908e+020	0	7.52656e+023	1.36038e-011	7.93726e-009	3.99936e+013	8.41419	2.21195	1.04487e-009	2.01271e-018	8.05675e-028	8.04955e-005	0.5	1.93331e-008	1	0.000746582	0.000746582
0.64	1051.2	1e+019	0	5e-006	6.912e+021	6.70688e+021	6.52307e+021	1.83814e+020	2.05116e+020	0	7.60059e+023	1.37045e-011	8.19463e-009	3.99935e+013	8.54791	2.26141	1.05063e-009	2.03495e-018	8.19064e-028	8.13847e-005	0.5	1.96543e-008	1	0.000758432	0.000758432
0.65	1052	1e+019	0	5e-006	7.02e+021	6.81168e+021	6.62199e+021	1.89685e+020	2.08325e+020	0	7.67357e+023	1.38049e-011	8.45636e-009	3.99934e+013	8.68163	2.31121	1.05633e-009	2.05709e-018	8.32467e-028	8.22701e-005	0.5	1.99759e-008	1	0.000770283	0.000770283
0.66	1052.8	1e+019	0	5e-006	7.128e+021	6.91647e+021	6.72081e+021	1.95655e+020	2.11534e+020	0	7.74553e+023	1.39049e-011	8.72249e-009	3.99933e+013	8.81536	2.36135	1.06197e-009	2.07914e-018	8.45885e-028	8.31516e-005	0.5	2.02979e-008	1	0.000782133	0.000782133
0.67	1053.6	1e+019	0	5e-006	7.236e+021	7.02126e+021	6.81953e+021	2.01723e+020	2.14742e+020	0	7.81647e+023	1.40045e-011	8.99302e-009	3.99933e+013	8.9491	2.41183	1.06756e-009	2.10109e-018	8.59317e-028	8.40294e-005	0.5	2.06202e-008	1	0.000793984	0.000793984
0.68	1054.4	1e+019	0	5e-006	7.344e+021	7.12605e+021	6.91816e+021	2.07891e+020	2.17951e+020	0	7.88642e+023	1.41039e-011	9.26798e-009	3.99932e+013	9.08285	2.46264	1.0731e-009	2.12295e-018	8.72764e-028	8.49036e-005	0.5	2.09428e-008	1	0.000805834	0.000805834
0.69	1055.2	1e+019	0	5e-006	7.452e+021	7.23084e+021	7.01668e+021	2.14158e+020	2.2116e+020	0	7.95539e+023	1.42029e-011	9.54739e-009	3.99931e+013	9.2166	2.51379	1.07859e-009	2.14472e-018	8.86225e-028	8.57742e-005	0.5	2.12657e-008	1	0.000817685	0.000817685
0.7	1056	1e+019	0	5e-006	7.56e+021	7.33563e+021	7.1151e+021	2.20526e+020	2.2437e+020	0	8.02338e+023	1.43017e-011	9.83128e-009	3.99931e+013	9.35035	2.56528	1.08403e-009	2.16641e-018	8.997e-028	8.66413e-005	0.5	2.15891e-008	1	0.000829535	0.000829535
0.71	1056.8	1e+019	0	5e-006	7.668e+021	7.44042e+021	7.21343e+021	2.26995e+020	2.27579e+020	0	8.09042e+023	1.44002e-011	1.01197e-008	3.9993e+013	9.48411	2.61709	1.08942e-009	2.18801e-018	9.13189e-028	8.7505e-005	0.5	2.19127e-008	1	0.000841386	0.000841386
0.72	1057.6	1e+019	0	5e-006	7.776e+021	7.54521e+021	7.31165e+021	2.33566e+020	2.30788e+020	0	8.15651e+023	1.44985e-011	1.04126e-008	3.99929e+013	9.61788	2.66923	1.09476e-009	2.20952e-018	9.26692e-028	8.83653e-005	0.5	2.22367e-008	1	0.000853236	0.000853236
0.73	1058.4	1e+019	0	5e-006	7.884e+021	7.65e+021	7.40976e+021	2.40238e+020	2.33998e+020	0	8.22167e+023	1.45965e-011	1.07101e-008	3.99929e+013	9.75166	2.72171	1.10006e-009	2.23096e-018	9.40209e-028	8.92224e-005	0.5	2.2561e-008	1	0.000865087	0.000865087
0.74	1059.2	1e+019	0	5e-006	7.992e+021	7.75479e+021	7.50778e+021	2.47013e+020	2.37208e+020	0	8.28591e+023	1.46942e-011	1.10121e-008	3.99928e+013	9.88544	2.7745	1.10531e-009	2.25231e-018	9.5374e-028	9.00762e-005	0.5	2.28856e-008	1	0.000876937	0.000876937
0.75	1060	1e+019	0	5e-006	8.1e+021	7.85958e+021	7.60569e+021	2.53891e+020	2.40418e+020	0	8.34924e+023	1.47918e-011	1.13187e-008	3.99927e+013	10.0192	2.82763	1.11052e-009	2.27359e-018	9.67285e-028	9.09269e-005	0.5	2.32106e-008	1	0.000888788	0.000888788
0.76	1060.8	1e+019	0	5e-006	8.208e+021	7.96437e+021	7.7035e+021	2.60873e+020	2.43628e+020	0	8.41168e+023	1.48891e-011	1.163e-008	3.99927e+013	10.153	2.88107	1.11569e-009	2.29478e-018	9.80843e-028	9.17745e-005	0.5	2.35359e-008	1	0.000900638	0.000900638
0.77	1061.6	1e+019	0	5e-006	8.316e+021	8.06916e+021	7.8012e+021	2.6796e+020	2.46838e+020	0	8.47323e+023	1.49863e-011	1.19459e-008	3.99926e+013	10.2868	2.93484	1.12081e-009	2.3159e-018	9.94416e-028	9.2619e-005	0.5	2.38616e-008	1	0.000912489	0.000912489
0.78	1062.4	1e+019	0	5e-006	8.424e+021	8.17395e+021	7.8988e+021	2.75151e+020	2.50049e+020	0	8.53391e+023	1.50832e-011	1.22665e-008	3.99925e+013	10.4206	2.98894	1.12589e-009	2.33695e-018	1.008e-027	9.34605e-005	0.5	2.41875e-008	1	0.000924339	0.000924339
0.79	1063.2	1e+019	0	5e-006	8.532e+021	8.27874e+021	7.99629e+021	2.82448e+020	2.53259e+020	0	8.59374e+023	1.518e-011	1.25918e-008	3.99925e+013	10.5545	3.04335	1.13093e-009	2.35792e-018	1.0216e-027	9.42991e-005	0.5	2.45138e-008	1	0.00093619	0.00093619
0.8	1064	1e+019	0	5e-006	8.64e+021	8.38353e+021	8.09368e+021	2.89851e+020	2.5647e+020	0	8.65271e+023	1.52766e-011	1.29218e-008	3.99924e+013	10.6883	3.09808	1.13593e-009	2.37882e-018	1.03522e-027	9.51348e-005	0.5	2.48404e-008	1	0.00094804	0.00094804
0.81	1064.8	1e+019	0	5e-006	8.748e+021	8.48832e+021	8.19096e+021	2.97361e+020	2.59681e+020	0	8.71085e+023	1.53731e-011	1.32566e-008	3.99923e+013	10.8221	3.15312	1.14089e-009	2.39965e-018	1.04884e-027	9.59677e-005	0.5	2.51674e-008	1	0.000959891	0.000959891
0.82	1065.6	1e+019	0	5e-006	8.856e+021	8.59311e+021	8.28813e+021	3.04978e+020	2.62892e+020	0	8.76817e+023	1.54694e-011	1.35962e-008	3.99923e+013	10.9559	3.20849	1.14582e-009	2.42041e-018	1.06248e-027	9.67978e-005	0.5	2.54946e-008	1	0.000971741	0.000971741
0.83	1066.4	1e+019	0	5e-006	8.964e+021	8.6979e+021	8.38519e+021	3.12703e+020	2.66103e+020	0	8.82467e+023	1.55656e-011	1.39406e-008	3.99922e+013	11.0898	3.26417	1.15071e-009	2.44111e-018	1.07614e-027	9.76252e-005	0.5	2.58222e-008	1	0.000983592	0.000983592
