Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Xe133 produced (at/m3)	Xe133 in grain (at/m3)	Xe133 in intragranular solution (at/m3)	Xe133 in intragranular bubbles (at/m3)	Xe133 decayed (at/m3)	Xe133 at grain boundary (at/m3)	Xe133 released (at/m3)	Xe133 R/B (/)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (kg/m3)	U238 (kg/m3)	
18300	1100	1e+19	0	5e-06	1.58112e+26	9.995842e+25	9.21373e+25	7.821123e+24	3.501142e+25	2.314216e+25	4.38326e+25	4.108471e+23	3.787522e+23	3.20949e+22	4.339774e+25	7.470555e+21	1.654513e+22	0.03804678	1.9764e+25	1.24948e+25	1.151716e+25	9.776404e+23	4.376427e+24	2.89277e+24	0.1463656	5.669077e+23	5.318318e-10	0.0003572101	1.867477e+12	3.556453e+07	8.845338e+08	3.810908e-07	2.677409e-13	3.908943e-20	0.5	0.5	0.04379916	1	21.68642	7.43262e+26	2.372858e+28	
18600	1100	1e+19	0	5e-06	1.60704e+26	1.011819e+26	9.328646e+25	7.895471e+24	3.580665e+25	2.371541e+25	4.455117e+25	4.108445e+23	3.788363e+23	3.200815e+22	4.41163e+25	7.3554e+21	1.666288e+22	0.03831757	2.0088e+25	1.264774e+25	1.166081e+25	9.869339e+23	4.475832e+24	2.964426e+24	0.147572	5.652208e+23	5.340763e-10	0.0003606755	1.820618e+12	3.730805e+07	9.18177e+08	3.859639e-07	2.746321e-13	4.060823e-20	0.5	0.5	0.04435924	1	22.04193	7.43262e+26	2.372858e+28	
18900	1100	1e+19	0	5e-06	1.63296e+26	1.023965e+26	9.442749e+25	7.969001e+24	3.660893e+25	2.429058e+25	4.526973e+25	4.108419e+23	3.789189e+23	3.192298e+22	4.483487e+25	7.244139e+21	1.67767e+22	0.03857929	2.0412e+25	1.279956e+25	1.180344e+25	9.961251e+23	4.576116e+24	3.036323e+24	0.1487519	5.63568e+23	5.362857e-10	0.0003641024	1.775769e+12	3.91069e+07	9.524256e+08	3.908075e-07	2.815682e-13	4.215632e-20	0.5	0.5	0.04491592	1	22.39745	7.43262e+26	2.372858e+28	
19200	1100	1e+19	0	5e-06	1.65888e+26	1.036022e+26	9.556045e+25	8.041729e+24	3.741812e+25	2.48677e+25	4.59883e+25	4.108394e+23	3.79e+23	3.183936e+22	4.555344e+25	7.136575e+21	1.688677e+22	0.03883241	2.0736e+25	1.295027e+25	1.194506e+25	1.005216e+24	4.677265e+24	3.108463e+24	0.1499066	5.619481e+23	5.384609e-10	0.0003674915	1.73281e+12	4.096178e+07	9.872775e+08	3.956222e-07	2.885487e-13	4.373367e-20	0.5	0.5	0.04546928	1	22.75296	7.43262e+26	2.372858e+28	
19500	1100	1e+19	0	5e-06	1.6848e+26	1.047991e+26	9.668545e+25	8.11367e+24	3.823409e+25	2.544678e+25	4.670687e+25	4.108369e+23	3.790797e+23	3.175724e+22	4.627201e+25	7.032524e+21	1.699328e+22	0.03907734	2.106e+25	1.309989e+25	1.208568e+25	1.014209e+24	4.779262e+24	3.180848e+24	0.1510374	5.603601e+23	5.406029e-10	0.0003708437	1.69163e+12	4.287342e+07	1.02273e+09	4.004086e-07	2.955729e-13	4.534026e-20	0.5	0.5	0.04601938	1	23.10848	7.43262e+26	2.372858e+28	
19800	1100	1e+19	0	5e-06	1.71072e+26	1.059874e+26	9.780258e+25	8.184839e+24	3.905674e+25	2.602784e+25	4.742544e+25	4.108345e+23	3.79158e+23	3.167656e+22	4.699057e+25	6.931814e+21	1.709641e+22	0.03931449	2.1384e+25	1.324843e+25	1.222532e+25	1.023105e+24	4.882092e+24	3.25348e+24	0.1521455	5.58803e+23	5.427125e-10	0.0003741595	1.652128e+12	4.484254e+07	1.058782e+09	4.051672e-07	3.0264e-13	4.697606e-20	0.5	0.5	0.04656628	1	23.46399	7.43262e+26	2.372858e+28	
20100	1100	1e+19	0	5e-06	1.73664e+26	1.071672e+26	9.891191e+25	8.25525e+24	3.988594e+25	2.66109e+25	4.8144e+25	4.108321e+23	3.792348e+23	3.15973e+22	4.770914e+25	6.834285e+21	1.719631e+22	0.03954423	2.1708e+25	1.339589e+25	1.236399e+25	1.031906e+24	4.985743e+24	3.326363e+24	0.1532321	5.572757e+23	5.447906e-10	0.0003774397	1.614208e+12	4.686983e+07	1.095431e+09	4.098985e-07	3.097494e-13	4.864104e-20	0.5	0.5	0.04711006	1	23.81951	7.43262e+26	2.372858e+28	
20400	1100	1e+19	0	5e-06	1.76256e+26	1.083384e+26	1.000135e+26	8.324917e+24	4.072159e+25	2.719597e+25	4.886257e+25	4.108298e+23	3.793104e+23	3.15194e+22	4.842771e+25	6.739784e+21	1.729315e+22	0.03976691	2.2032e+25	1.354231e+25	1.250169e+25	1.040615e+24	5.090198e+24	3.399496e+24	0.1542981	5.557774e+23	5.46838e-10	0.0003806849	1.577782e+12	4.8956e+07	1.132675e+09	4.146031e-07	3.169005e-13	5.033518e-20	0.5	0.5	0.04765077	1	24.17502	7.43262e+26	2.372858e+28	
20700	1100	1e+19	0	5e-06	1.78848e+26	1.095014e+26	1.011075e+26	8.393853e+24	4.156357e+25	2.778306e+25	4.958114e+25	4.108275e+23	3.793847e+23	3.144284e+22	4.914627e+25	6.648171e+21	1.738705e+22	0.03998285	2.2356e+25	1.368767e+25	1.263844e+25	1.049232e+24	5.195446e+24	3.472882e+24	0.1553445	5.54307e+23	5.488556e-10	0.0003838957	1.542768e+12	5.110175e+07	1.170512e+09	4.192816e-07	3.240928e-13	5.205846e-20	0.5	0.5	0.04818847	1	24.53054	7.43262e+26	2.372858e+28	
21000	1100	1e+19	0	5e-06	1.8144e+26	1.10656e+26	1.02194e+26	8.462072e+24	4.241179e+25	2.837218e+25	5.02997e+25	4.108253e+23	3.794577e+23	3.136756e+22	4.986484e+25	6.559313e+21	1.747816e+22	0.04019237	2.268e+25	1.3832e+25	1.277425e+25	1.057759e+24	5.301474e+24	3.546522e+24	0.1563722	5.528638e+23	5.50844e-10	0.0003870729	1.509089e+12	5.330776e+07	1.20894e+09	4.239344e-07	3.313256e-13	5.381084e-20	0.5	0.5	0.04872322	1	24.88605	7.43262e+26	2.372858e+28	
21300	1100	1e+19	0	5e-06	1.84032e+26	1.118025e+26	1.032729e+26	8.529585e+24	4.326614e+25	2.896334e+25	5.101827e+25	4.108231e+23	3.795295e+23	3.129354e+22	5.058341e+25	6.473085e+21	1.756661e+22	0.04039575	2.3004e+25	1.397531e+25	1.290912e+25	1.066198e+24	5.408268e+24	3.620417e+24	0.1573821	5.51447e+23	5.52804e-10	0.0003902169	1.476675e+12	5.557472e+07	1.247957e+09	4.28562e-07	3.385985e-13	5.559231e-20	0.5	0.5	0.04925507	1	25.24157	7.43262e+26	2.372858e+28	
21600	1100	1e+19	0	5e-06	1.86624e+26	1.129409e+26	1.043445e+26	8.596405e+24	4.412654e+25	2.955654e+25	5.173684e+25	4.108209e+23	3.796001e+23	3.122074e+22	5.130198e+25	6.38937e+21	1.76525e+22	0.04059327	2.3328e+25	1.411761e+25	1.304306e+25	1.074551e+24	5.515817e+24	3.694568e+24	0.1583748	5.500557e+23	5.547364e-10	0.0003933283	1.445459e+12	5.790331e+07	1.287561e+09	4.331648e-07	3.459109e-13	5.740286e-20	0.5	0.5	0.04978409	1	25.59708	7.43262e+26	2.372858e+28	
21900	1100	1e+19	0	5e-06	1.89216e+26	1.140713e+26	1.054088e+26	8.662545e+24	4.499287e+25	3.015181e+25	5.245541e+25	4.108187e+23	3.796696e+23	3.114913e+22	5.202054e+25	6.308057e+21	1.773596e+22	0.04078519	2.3652e+25	1.425891e+25	1.31761e+25	1.082818e+24	5.624109e+24	3.768976e+24	0.1593513	5.486893e+23	5.566417e-10	0.0003964078	1.415379e+12	6.02942e+07	1.327751e+09	4.377435e-07	3.532622e-13	5.924244e-20	0.5	0.5	0.05031032	1	25.9526	7.43262e+26	2.372858e+28	
22200	1100	1e+19	0	5e-06	1.91808e+26	1.151938e+26	1.064658e+26	8.728015e+24	4.586506e+25	3.074913e+25	5.317397e+25	4.108166e+23	3.797379e+23	3.107868e+22	5.273911e+25	6.229041e+21	1.781708e+22	0.04097174	2.3976e+25	1.439923e+25	1.330822e+25	1.091002e+24	5.733133e+24	3.843641e+24	0.160312	5.473469e+23	5.585206e-10	0.0003994559	1.386378e+12	6.274808e+07	1.368524e+09	4.422983e-07	3.60652e-13	6.111106e-20	0.5	0.5	0.05083381	1	26.30811	7.43262e+26	2.372858e+28	
22500	1100	1e+19	0	5e-06	1.944e+26	1.163085e+26	1.075156e+26	8.792827e+24	4.674302e+25	3.134852e+25	5.389254e+25	4.108145e+23	3.798052e+23	3.100936e+22	5.345768e+25	6.152225e+21	1.789597e+22	0.04115315	2.43e+25	1.453856e+25	1.343945e+25	1.099103e+24	5.842878e+24	3.918565e+24	0.1612578	5.460279e+23	5.603737e-10	0.000402473	1.358401e+12	6.526559e+07	1.409879e+09	4.468298e-07	3.680799e-13	6.300868e-20	0.5	0.5	0.05135462	1	26.66363	7.43262e+26	2.372858e+28	
22800	1100	1e+19	0	5e-06	1.96992e+26	1.174154e+26	1.085584e+26	8.856991e+24	4.762666e+25	3.194997e+25	5.461111e+25	4.108125e+23	3.798714e+23	3.094113e+22	5.417624e+25	6.077516e+21	1.797272e+22	0.04132965	2.4624e+25	1.467692e+25	1.35698e+25	1.107124e+24	5.953332e+24	3.993747e+24	0.1621892	5.447317e+23	5.622017e-10	0.0004054598	1.331397e+12	6.784742e+07	1.451814e+09	4.513384e-07	3.755453e-13	6.493529e-20	0.5	0.5	0.05187279	1	27.01914	7.43262e+26	2.372858e+28	
23100	1100	1e+19	0	5e-06	1.99584e+26	1.185146e+26	1.095941e+26	8.92052e+24	4.851589e+25	3.25535e+25	5.532967e+25	4.108105e+23	3.799365e+23	3.087397e+22	5.489481e+25	6.004826e+21	1.804742e+22	0.04150142	2.4948e+25	1.481433e+25	1.369926e+25	1.115065e+24	6.064486e+24	4.069188e+24	0.1631068	5.434576e+23	5.640052e-10	0.0004084167	1.30532e+12	7.04942e+07	1.494327e+09	4.558245e-07	3.830479e-13	6.689087e-20	0.5	0.5	0.05238838	1	27.37466	7.43262e+26	2.372858e+28	
23400	1100	1e+19	0	5e-06	2.02176e+26	1.196063e+26	1.106228e+26	8.983422e+24	4.941064e+25	3.31591e+25	5.604824e+25	4.108085e+23	3.800007e+23	3.080785e+22	5.561338e+25	5.934072e+21	1.812015e+22	0.04166867	2.5272e+25	1.495078e+25	1.382786e+25	1.122928e+24	6.17633e+24	4.144888e+24	0.1640111	5.42205e+23	5.657846e-10	0.0004113443	1.280124e+12	7.320659e+07	1.537416e+09	4.602885e-07	3.905872e-13	6.887541e-20	0.5	0.5	0.05290143	1	27.73017	7.43262e+26	2.372858e+28	
23700	1100	1e+19	0	5e-06	2.04768e+26	1.206904e+26	1.116447e+26	9.045708e+24	5.031082e+25	3.376677e+25	5.676681e+25	4.108066e+23	3.800638e+23	3.074275e+22	5.633195e+25	5.865177e+21	1.819099e+22	0.04183158	2.5596e+25	1.50863e+25	1.395559e+25	1.130713e+24	6.288853e+24	4.220847e+24	0.1649026	5.409733e+23	5.675405e-10	0.000414243	1.255768e+12	7.598525e+07	1.581081e+09	4.647308e-07	3.981628e-13	7.088889e-20	0.5	0.5	0.05341199	1	28.08569	7.43262e+26	2.372858e+28	
24000	1100	1e+19	0	5e-06	2.0736e+26	1.217671e+26	1.126597e+26	9.107387e+24	5.121637e+25	3.437652e+25	5.748538e+25	4.108047e+23	3.80126e+23	3.067863e+22	5.705051e+25	5.798066e+21	1.826002e+22	0.04199031	2.592e+25	1.522089e+25	1.408247e+25	1.138423e+24	6.402046e+24	4.297065e+24	0.1657818	5.39762e+23	5.692735e-10	0.0004171132	1.232212e+12	7.883081e+07	1.625318e+09	4.691517e-07	4.057742e-13	7.293129e-20	0.5	0.5	0.0539201	1	28.4412	7.43262e+26	2.372858e+28	
24300	1100	1e+19	0	5e-06	2.09952e+26	1.228365e+26	1.13668e+26	9.16847e+24	5.21272e+25	3.498835e+25	5.820394e+25	4.108028e+23	3.801873e+23	3.061549e+22	5.776908e+25	5.732668e+21	1.832731e+22	0.04214504	2.6244e+25	1.535456e+25	1.42085e+25	1.146059e+24	6.5159e+24	4.373543e+24	0.1666493	5.385705e+23	5.709841e-10	0.0004199554	1.20942e+12	8.174391e+07	1.670127e+09	4.735518e-07	4.134212e-13	7.50026e-20	0.5	0.5	0.0544258	1	28.79672	7.43262e+26	2.372858e+28	
24600	1100	1e+19	0	5e-06	2.12544e+26	1.238985e+26	1.146695e+26	9.228966e+24	5.304325e+25	3.560224e+25	5.892251e+25	4.108009e+23	3.802476e+23	3.055328e+22	5.848765e+25	5.668918e+21	1.839292e+22	0.04229591	2.6568e+25	1.548731e+25	1.433369e+25	1.153621e+24	6.630406e+24	4.45028e+24	0.1675053	5.373982e+23	5.726727e-10	0.0004227701	1.187357e+12	8.47252e+07	1.715506e+09	4.779313e-07	4.211033e-13	7.710281e-20	0.5	0.5	0.05492914	1	29.15223	7.43262e+26	2.372858e+28	
24900	1100	1e+19	0	5e-06	2.15136e+26	1.249534e+26	1.156645e+26	9.288883e+24	5.396444e+25	3.621821e+25	5.964108e+25	4.107991e+23	3.803071e+23	3.0492e+22	5.920621e+25	5.606752e+21	1.845691e+22	0.04244308	2.6892e+25	1.561917e+25	1.445806e+25	1.16111e+24	6.745555e+24	4.527276e+24	0.1683503	5.362448e+23	5.743398e-10	0.0004255577	1.16599e+12	8.777529e+07	1.761453e+09	4.822905e-07	4.288202e-13	7.92319e-20	0.5	0.5	0.05543015	1	29.50775	7.43262e+26	2.372858e+28	
25200	1100	1e+19	0	5e-06	2.17728e+26	1.26001e+26	1.166528e+26	9.348231e+24	5.48907e+25	3.683625e+25	6.035964e+25	4.107973e+23	3.803657e+23	3.043161e+22	5.992478e+25	5.54611e+21	1.851936e+22	0.04258668	2.7216e+25	1.575013e+25	1.45816e+25	1.168529e+24	6.861338e+24	4.604531e+24	0.1691847	5.351097e+23	5.759859e-10	0.0004283187	1.145288e+12	9.089483e+07	1.807967e+09	4.866299e-07	4.365715e-13	8.138986e-20	0.5	0.5	0.05592888	1	29.86326	7.43262e+26	2.372858e+28	
25500	1100	1e+19	0	5e-06	2.2032e+26	1.270417e+26	1.176346e+26	9.407018e+24	5.582198e+25	3.745636e+25	6.107821e+25	4.107955e+23	3.804234e+23	3.037211e+22	6.064335e+25	5.486935e+21	1.858031e+22	0.04272684	2.754e+25	1.588021e+25	1.470433e+25	1.175877e+24	6.977747e+24	4.682045e+24	0.1700089	5.339925e+23	5.776114e-10	0.0004310533	1.125222e+12	9.408442e+07	1.855046e+09	4.909498e-07	4.443569e-13	8.357668e-20	0.5	0.5	0.05642537	1	30.21878	7.43262e+26	2.372858e+28	
25800	1100	1e+19	0	5e-06	2.22912e+26	1.280753e+26	1.1861e+26	9.465253e+24	5.675819e+25	3.807853e+25	6.179678e+25	4.107937e+23	3.804803e+23	3.031345e+22	6.136192e+25	5.429174e+21	1.863983e+22	0.0428637	2.7864e+25	1.600941e+25	1.482625e+25	1.183157e+24	7.094774e+24	4.759817e+24	0.1708232	5.328926e+23	5.792167e-10	0.0004337621	1.105764e+12	9.73447e+07	1.902688e+09	4.952505e-07	4.521761e-13	8.579235e-20	0.5	0.5	0.05691965	1	30.57429	7.43262e+26	2.372858e+28	
26100	1100	1e+19	0	5e-06	2.25504e+26	1.291019e+26	1.19579e+26	9.522944e+24	5.769928e+25	3.870277e+25	6.251535e+25	4.10792e+23	3.805364e+23	3.025564e+22	6.208048e+25	5.372773e+21	1.869795e+22	0.04299737	2.8188e+25	1.613774e+25	1.494738e+25	1.190368e+24	7.212411e+24	4.837846e+24	0.1716279	5.318097e+23	5.808023e-10	0.0004364454	1.086889e+12	1.006763e+08	1.950893e+09	4.995322e-07	4.600286e-13	8.803685e-20	0.5	0.5	0.05741176	1	30.92981	7.43262e+26	2.372858e+28	
26400	1100	1e+19	0	5e-06	2.28096e+26	1.301217e+26	1.205416e+26	9.580099e+24	5.864519e+25	3.932907e+25	6.323391e+25	4.107903e+23	3.805917e+23	3.019864e+22	6.279905e+25	5.317686e+21	1.875474e+22	0.04312796	2.8512e+25	1.626522e+25	1.506771e+25	1.197512e+24	7.330649e+24	4.916133e+24	0.1724233	5.307434e+23	5.823685e-10	0.0004391036	1.068572e+12	1.040798e+08	1.999659e+09	5.037955e-07	4.679143e-13	9.031018e-20	0.5	0.5	0.05790174	1	31.28532	7.43262e+26	2.372858e+28	
26700	1100	1e+19	0	5e-06	2.30688e+26	1.311347e+26	1.21498e+26	9.636726e+24	5.959586e+25	3.995742e+25	6.395248e+25	4.107886e+23	3.806462e+23	3.014245e+22	6.351762e+25	5.263864e+21	1.881024e+22	0.04325559	2.8836e+25	1.639184e+25	1.518725e+25	1.204591e+24	7.449482e+24	4.994677e+24	0.1732098	5.296933e+23	5.839158e-10	0.000441737	1.050789e+12	1.075558e+08	2.048984e+09	5.080404e-07	4.758328e-13	9.261232e-20	0.5	0.5	0.05838962	1	31.64084	7.43262e+26	2.372858e+28	
27000	1100	1e+19	0	5e-06	2.3328e+26	1.32141e+26	1.224481e+26	9.692832e+24	6.055122e+25	4.058782e+25	6.467105e+25	4.10787e+23	3.807e+23	3.008703e+22	6.423619e+25	5.211264e+21	1.88645e+22	0.04338035	2.916e+25	1.651762e+25	1.530602e+25	1.211604e+24	7.568903e+24	5.073477e+24	0.1739876	5.286589e+23	5.854445e-10	0.0004443461	1.03352e+12	1.111049e+08	2.098866e+09	5.122674e-07	4.837838e-13	9.494327e-20	0.5	0.5	0.05887543	1	31.99635	7.43262e+26	2.372858e+28	
27300	1100	1e+19	0	5e-06	2.35872e+26	1.331405e+26	1.233921e+26	9.748425e+24	6.151122e+25	4.122027e+25	6.538962e+25	4.107854e+23	3.80753e+23	3.003238e+22	6.495475e+25	5.159843e+21	1.891755e+22	0.04350235	2.9484e+25	1.664256e+25	1.542401e+25	1.218553e+24	7.688902e+24	5.152534e+24	0.1747569	5.276399e+23	5.86955e-10	0.0004469311	1.016742e+12	1.147277e+08	2.149305e+09	5.164768e-07	4.91767e-13	9.730302e-20	0.5	0.5	0.05935922	1	32.35187	7.43262e+26	2.372858e+28	
27600	1100	1e+19	0	5e-06	2.38464e+26	1.341334e+26	1.243299e+26	9.803512e+24	6.24758e+25	4.185476e+25	6.610818e+25	4.107837e+23	3.808053e+23	2.997848e+22	6.567332e+25	5.10956e+21	1.896944e+22	0.04362168	2.9808e+25	1.676668e+25	1.554124e+25	1.225439e+24	7.809475e+24	5.231845e+24	0.1755181	5.266359e+23	5.884476e-10	0.0004494925	1.000436e+12	1.184249e+08	2.200299e+09	5.206687e-07	4.997822e-13	9.969155e-20	0.5	0.5	0.059841	1	32.70738	7.43262e+26	2.372858e+28	
27900	1100	1e+19	0	5e-06	2.41056e+26	1.351198e+26	1.252617e+26	9.8581e+24	6.344491e+25	4.249129e+25	6.682675e+25	4.107822e+23	3.808568e+23	2.992531e+22	6.639189e+25	5.060377e+21	1.902021e+22	0.04373843	3.0132e+25	1.688998e+25	1.565771e+25	1.232263e+24	7.930613e+24	5.311411e+24	0.1762714	5.256466e+23	5.899227e-10	0.0004520306	9.845833e+11	1.22197e+08	2.251846e+09	5.248435e-07	5.07829e-13	1.021089e-19	0.5	0.5	0.06032082	1	33.0629	7.43262e+26	2.372858e+28	
28200	1100	1e+19	0	5e-06	2.43648e+26	1.360997e+26	1.261875e+26	9.912197e+24	6.441848e+25	4.312985e+25	6.754532e+25	4.107806e+23	3.809077e+23	2.987286e+22	6.711045e+25	5.012258e+21	1.90699e+22	0.04385268	3.0456e+25	1.701246e+25	1.577343e+25	1.239025e+24	8.05231e+24	5.391231e+24	0.177017	5.246717e+23	5.913806e-10	0.0004545456	9.691664e+11	1.260445e+08	2.303946e+09	5.290015e-07	5.159073e-13	1.04555e-19	0.5	0.5	0.0607987	1	33.41841	7.43262e+26	2.372858e+28	
28500	1100	1e+19	0	5e-06	2.4624e+26	1.370731e+26	1.271073e+26	9.96581e+24	6.539648e+25	4.377044e+25	6.826388e+25	4.10779e+23	3.809579e+23	2.982111e+22	6.782902e+25	4.965166e+21	1.911853e+22	0.04396452	3.078e+25	1.713414e+25	1.588841e+25	1.245726e+24	8.17456e+24	5.471304e+24	0.1777552	5.237108e+23	5.928216e-10	0.000457038	9.541682e+11	1.299682e+08	2.356596e+09	5.331429e-07	5.240167e-13	1.070298e-19	0.5	0.5	0.06127467	1	33.77393	7.43262e+26	2.372858e+28	
28800	1100	1e+19	0	5e-06	2.48832e+26	1.380401e+26	1.280212e+26	1.001894e+25	6.637884e+25	4.441304e+25	6.898245e+25	4.107775e+23	3.810075e+23	2.977004e+22	6.854759e+25	4.919069e+21	1.916615e+22	0.04407403	3.1104e+25	1.725501e+25	1.600265e+25	1.252368e+24	8.297355e+24	5.55163e+24	0.1784861	5.227636e+23	5.942461e-10	0.0004595079	9.395725e+11	1.339685e+08	2.409796e+09	5.37268e-07	5.321569e-13	1.095335e-19	0.5	0.5	0.06174877	1	34.12944	7.43262e+26	2.372858e+28	
29100	1100	1e+19	0	5e-06	2.51424e+26	1.390008e+26	1.289292e+26	1.007161e+25	6.736552e+25	4.505767e+25	6.970102e+25	4.10776e+23	3.810564e+23	2.971965e+22	6.926616e+25	4.873933e+21	1.921279e+22	0.04418128	3.1428e+25	1.73751e+25	1.611615e+25	1.258951e+24	8.42069e+24	5.632208e+24	0.1792099	5.218298e+23	5.956544e-10	0.0004619559	9.253641e+11	1.380461e+08	2.463545e+09	5.41377e-07	5.403278e-13	1.120658e-19	0.5	0.5	0.06222102	1	34.48496	7.43262e+26	2.372858e+28	
29400	1100	1e+19	0	5e-06	2.54016e+26	1.399552e+26	1.298314e+26	1.01238e+25	6.835646e+25	4.57043e+25	7.041959e+25	4.107745e+23	3.811046e+23	2.966992e+22	6.998472e+25	4.829729e+21	1.925848e+22	0.04428634	3.1752e+25	1.749441e+25	1.622893e+25	1.265475e+24	8.544557e+24	5.713037e+24	0.1799268	5.209091e+23	5.970467e-10	0.000464382	9.115286e+11	1.422016e+08	2.51784e+09	5.454701e-07	5.485292e-13	1.14627e-19	0.5	0.5	0.06269145	1	34.84047	7.43262e+26	2.372858e+28	
29700	1100	1e+19	0	5e-06	2.56608e+26	1.409035e+26	1.307279e+26	1.017554e+25	6.935162e+25	4.635293e+25	7.113815e+25	4.107731e+23	3.811522e+23	2.962083e+22	7.070329e+25	4.786427e+21	1.930325e+22	0.04438929	3.2076e+25	1.761293e+25	1.634099e+25	1.271943e+24	8.668952e+24	5.794116e+24	0.1806371	5.200013e+23	5.984233e-10	0.0004667867	8.98052e+11	1.464354e+08	2.572681e+09	5.495477e-07	5.567607e-13	1.172168e-19	0.5	0.5	0.06316009	1	35.19599	7.43262e+26	2.372858e+28	
30000	1100	1e+19	0	5e-06	2.592e+26	1.418455e+26	1.316187e+26	1.022683e+25	7.035095e+25	4.700356e+25	7.185672e+25	4.107716e+23	3.811993e+23	2.957237e+22	7.142186e+25	4.743998e+21	1.934712e+22	0.04449018	3.24e+25	1.773069e+25	1.645233e+25	1.278353e+24	8.793868e+24	5.875445e+24	0.1813409	5.191059e+23	5.997846e-10	0.0004691703	8.849212e+11	1.507482e+08	2.628066e+09	5.536098e-07	5.650221e-13	1.198355e-19	0.5	0.5	0.06362696	1	35.5515	7.43262e+26	2.372858e+28	
